start,end,asset_name,delta_downloads
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.3.10.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.3.11.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.3.2.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.3.3.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.3.4.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.3.5.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.3.7.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.3.8.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.3.9.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.4.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.4.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.5.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.5.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.5.2.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.5.3.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.5.4.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.5.5.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.6.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.7.0.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.7.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.7.2.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.7.3.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.7.4.zip,1
